stage,trial_id,is_default,train_row_count,valid_row_count,param_learning_rate,param_max_iter,param_max_leaf_nodes,param_max_depth,param_min_samples_leaf,param_l2_regularization,param_max_bins,split,model,sample_count,mean_error_m,median_error_m,rmse_m,p90_error_m,status,error_message,fit_seconds
screening,0,True,68245,155597,0.05,300,31,6,32,0.0,255,valid,Tree tuning screening,155597,14.12736511635609,12.789101761084346,16.383351086758978,24.958934739394394,ok,,32.172
screening,1,False,68245,155597,0.05,1000,15,8,64,1.0,128,valid,Tree tuning screening,155597,13.222647645494838,11.939663144487962,15.358788128706319,23.386555930566335,ok,,58.369
screening,2,False,68245,155597,0.05,500,63,None,64,1.0,128,valid,Tree tuning screening,155597,12.69180389947436,11.220710420927883,14.971638927358176,23.044111106717253,ok,,48.637
screening,3,False,68245,155597,0.08,500,15,None,64,1.0,64,valid,Tree tuning screening,155597,13.845013112562308,12.553713422184957,16.031074869394516,24.519714822191265,ok,,29.867
screening,4,False,68245,155597,0.01,300,31,8,16,0.1,128,valid,Tree tuning screening,155597,20.35753114733001,17.511423388082402,24.268908615217303,38.174554230716154,ok,,30.707
screening,5,False,68245,155597,0.01,1000,63,4,32,0.0,64,valid,Tree tuning screening,155597,15.868972142621075,14.444841437838782,18.349518715842105,27.69239225837284,ok,,66.497
screening,6,False,68245,155597,0.05,500,127,4,16,0.1,64,valid,Tree tuning screening,155597,14.442585686313315,13.16446538838426,16.68093763909666,25.272540936022324,ok,,33.011
screening,7,False,68245,155597,0.02,500,15,10,128,0.01,128,valid,Tree tuning screening,155597,15.645264482757689,14.203272869602579,18.102067599156978,27.37629111623607,ok,,36.294
screening,8,False,68245,155597,0.1,500,31,10,16,0.001,64,valid,Tree tuning screening,155597,12.928646939160624,11.59456516485223,15.107916806470438,23.20252423055456,ok,,33.991
screening,9,False,68245,155597,0.08,1000,127,6,32,0.001,64,valid,Tree tuning screening,155597,12.047080400865113,10.5569510928913,14.288224477879773,22.14154855726245,ok,,85.164
screening,10,False,68245,155597,0.03,800,63,None,32,0.001,128,valid,Tree tuning screening,155597,12.770702614141397,11.307420057295497,15.05392356241997,23.195627785429625,ok,,73.794
screening,11,False,68245,155597,0.08,800,63,4,128,0.0,64,valid,Tree tuning screening,155597,13.34685078119859,12.098782317901039,15.468891376521462,23.624581358564917,ok,,51.646
screening,12,False,68245,155597,0.08,200,31,4,16,0.001,64,valid,Tree tuning screening,155597,15.117755850841192,13.762840228408473,17.455683455039345,26.37299808372058,ok,,13.671
screening,13,False,68245,155597,0.01,500,31,8,32,0.1,255,valid,Tree tuning screening,155597,15.678871827321379,14.06310742215185,18.2992210759909,27.891244651673517,ok,,48.667
screening,14,False,68245,155597,0.03,800,15,6,128,0.01,255,valid,Tree tuning screening,155597,14.086811565494813,12.774816496054564,16.323258104686445,24.76956515907007,ok,,52.749
screening,15,False,68245,155597,0.02,200,63,4,128,0.1,255,valid,Tree tuning screening,155597,18.416304329731506,16.281106603277603,21.649977972945663,33.25905944614315,ok,,15.094
screening,16,False,68245,155597,0.08,300,31,6,32,1.0,64,valid,Tree tuning screening,155597,13.652365778091113,12.377181464470679,15.838857320674984,24.21105259763921,ok,,24.534
screening,17,False,68245,155597,0.05,500,63,None,128,1.0,128,valid,Tree tuning screening,155597,12.576869133343084,11.12922722411292,14.828403030288381,22.868951770140413,ok,,48.789
